Métrica,Valor,Mínimo,Máximo
Tempo médio (min),7.040004055853984,4.569461032385135,15.499452092926013
Tempo mediano (min),6.287230545800065,3.4290132579997326,15.734764365383006
Tempo máximo (min),16.837536600684807,13.007330226296174,22.68276927983452
Distância média (km),6.090200329573217,4.035371113228095,14.09503685901125
Distância mediana (km),5.473484590156181,3.040912297930123,14.385605606110124
Cobertura média (%),100.0,100.0,100.0
